ResponseID,Type,P53000674.Q185050072_1340367935,P53000674.Q185050072_1340367937,P53000674.Q185050072_1340367939,P53000674.Q185050073_1340367940,P53000674.Q185050073_1340367941,P53000674.Q185050073_1340367942,P53000674.Q185050073_1340367943,P53000674.Q185050073_1340367944,P53000674.Q185050074_1340367945,P53000674.Q185050074_1340367946,P53000674.Q185050074_1340367947,P53000674.Q185050075,P53013544.Q185050076,P53013544.Q185050077,P53013544.Q185050078_1340367951,P53013544.Q185050078_1340367952,P53013544.Q185050078_1340367953,P53013544.Q196590868_1416382021,P53013544.Q196590868_1416382023,P53013544.Q196591377_R1416385338[|]Validation,P53013544.Q196591377_R1416385338,P53013544.Q196591377_R1416385339[|]Validation,P53013544.Q196591377_R1416385339,P53013544.Q196591377_R1416385340[|]Validation,P53013544.Q196591377_R1416385340,P53013544.Q196591603_R1416386770[|]Validation,P53013544.Q196591603_R1416386770,P53013544.Q196591603_R1416387063[|]Validation,P53013544.Q196591603_R1416387063,P53013544.Q196591603_R1416387064[|]Validation,P53013544.Q196591603_R1416387064
114631115231,T,1,0,0,1,1,1,1,1,1,0,0,goliat de naranja,palta,12.0,1,0,0,1,1,1,goliat,1,miller,1,rindedos,1,06/27/2024 4:4 AM,1,06/30/2024 22:49 PM,1,08/09/2024 21:30 PM
114611755168,P,0,0,1,0,0,1,0,0,0,0,1,agua,no,,0,0,1,0,0,0,goliat,0,miller,0,rindedos,1,05/23/2025 4:4 AM,1,06/30/2024 22:49 PM,1,08/09/2024 21:30 PM
114611772749,P,0,0,1,0,0,1,0,0,0,0,1,schweppes,si,35.0,0,0,1,0,0,0,goliat,0,miller,0,rindedos,1,05/23/2025 4:4 AM,1,06/30/2024 22:49 PM,1,08/09/2024 21:30 PM
114611763020,P,0,0,1,0,0,1,0,0,0,0,1,paso de los toros,,,0,0,1,0,0,0,goliat,0,miller,0,rindedos,1,05/23/2025 4:4 AM,1,06/30/2024 22:49 PM,1,08/09/2024 21:30 PM
114630488327,P,0,0,1,0,0,1,0,0,0,0,1,coca cola,MAGIA,15.0,0,0,1,0,0,0,goliat,0,miller,0,rindedos,1,05/23/2025 4:4 AM,1,06/30/2024 22:49 PM,1,08/09/2024 21:30 PM
114577634260,P,0,0,1,0,0,1,0,0,0,0,1,aquarius,jamas,,0,0,1,0,0,0,goliat,0,miller,0,rindedos,1,05/23/2025 4:4 AM,1,06/30/2024 22:49 PM,1,08/09/2024 21:30 PM
114577961073,P,0,0,1,0,0,1,0,0,0,0,1,miju,,22.0,0,0,1,0,0,0,goliat,0,miller,0,rindedos,1,05/23/2025 4:4 AM,1,06/30/2024 22:49 PM,1,08/09/2024 21:30 PM
114577889924,P,0,0,1,0,0,1,0,0,0,0,1,rinde 2,MAGIA,70.0,0,0,1,0,0,0,goliat,0,miller,0,rindedos,1,05/23/2025 4:4 AM,1,06/30/2024 22:49 PM,1,08/09/2024 21:30 PM
114577635205,P,0,0,1,0,0,1,0,0,0,0,1,fanta,,,0,0,1,0,0,0,goliat,0,miller,0,rindedos,1,05/23/2025 4:4 AM,1,06/30/2024 22:49 PM,1,08/09/2024 21:30 PM
114577635884,P,0,0,1,0,0,1,0,0,0,0,1,mocoreta,innovacion,12.0,0,0,1,0,0,0,goliat,0,miller,0,rindedos,1,05/23/2025 4:4 AM,1,06/30/2024 22:49 PM,1,08/09/2024 21:30 PM
114611327269,P,0,0,1,0,0,1,0,0,0,0,1,termaa,,,0,0,1,0,0,0,goliat,0,miller,0,rindedos,1,05/23/2025 4:4 AM,1,06/30/2024 22:49 PM,1,08/09/2024 21:30 PM
114630506186,P,0,0,1,0,0,1,0,0,0,0,1,agua,no,80.0,0,0,1,0,0,0,goliat,0,miller,0,rindedos,1,05/23/2025 4:4 AM,1,06/30/2024 22:49 PM,1,08/09/2024 21:30 PM
114630513581,P,0,1,0,0,0,1,1,0,0,1,0,,MUCHO SABOR,99.0,0,1,0,0,0,0,goliat,0,miller,0,rindedos,1,05/23/2025 4:4 AM,1,06/30/2024 22:49 PM,1,08/09/2024 21:30 PM
114631118168,P,0,0,0,0,0,0,0,0,0,0,0,"hola?, no se ",no me interesa,,0,1,0,0,0,0,goliat,0,miller,0,rindedos,1,05/23/2025 4:4 AM,1,06/30/2024 22:49 PM,1,08/09/2024 21:30 PM
114611328387,P,0,0,1,0,0,1,0,0,0,0,1,,creatividad,,0,0,1,0,0,0,,0,,0,,1,05/23/2025 4:4 AM,1,06/30/2024 22:49 PM,1,08/09/2024 21:30 PM
